household_id,sample_type,Target,Well,Cq,Cq_sd,Result,detect
HH001,compost,Adenovirus 40/41,A1,NA,NA,Negative,0
HH001,compost,Aeromonas,A2,26.63,0.9,Positive,1
HH001,compost,Ancylostoma,A3,NA,NA,Equivocal,0
HH001,compost,Ascaris,A4,29.67,0.28,Positive,1
HH001,compost,Astrovirus,A5,NA,NA,Negative,0
HH001,compost,BacHum,A6,NA,NA,Negative,0
HH001,compost,Bacteroides fragilis,B1,32,0.42,Positive,1
HH001,compost,Blastocystis,B2,NA,NA,Negative,0
HH001,compost,Campylobacter,B3,32.13,0.18,Positive,1
HH001,compost,Clostridium difficile,B4,NA,NA,Negative,0
HH001,compost,CrAssphage,B5,NA,NA,Negative,0
HH001,compost,Cryptosporidium,B6,NA,NA,Negative,0
HH001,compost,Cyclospora,C1,NA,NA,Negative,0
HH001,compost,Dientamoeba fragilis,C2,NA,NA,Negative,0
HH001,compost,E. coli O157,C3,NA,NA,Negative,0
HH001,compost,EAEC,C4,27.33,0.61,Positive,1
HH001,compost,EPEC,C5,NA,NA,Negative,0
HH001,compost,ETEC,C6,NA,NA,Negative,0
HH001,compost,Entamoeba histolytica,D1,NA,NA,Negative,0
HH001,compost,Enterovirus,D2,NA,NA,Negative,0
HH001,compost,Giardia,D3,NA,NA,Negative,0
HH001,compost,HF183,D4,NA,NA,Negative,0
HH001,compost,Helicobacter pylori,D5,NA,NA,Negative,0
HH001,compost,Hepatitis A,D6,NA,NA,Negative,0
HH001,compost,Hepatitis E,E1,NA,NA,Negative,0
HH001,compost,Listeria monocytogenes,E2,NA,NA,Negative,0
HH001,compost,MS2,E3,NA,NA,Negative,0
HH001,compost,Necator,E4,NA,NA,Negative,0
HH001,compost,No Template Control,E5,NA,NA,Negative,0
HH001,compost,Norovirus GI,E6,NA,NA,Negative,0
HH001,compost,Norovirus GII,F1,NA,NA,Negative,0
HH001,compost,Rotavirus A,F2,20.52,0.54,Positive,1
HH001,compost,STEC,F3,NA,NA,Negative,0
HH001,compost,Salmonella,F4,NA,NA,Equivocal,0
HH001,compost,Sapovirus,F5,30.6,0.88,Positive,1
HH001,compost,Shigella,F6,33.93,0.37,Positive,1
HH001,compost,Sketa22,G1,NA,NA,Negative,0
HH001,compost,Spiked_Extraction_Control,G2,30.57,0.79,Positive,1
HH001,compost,Strongyloides,G3,NA,NA,Negative,0
HH001,compost,Trichuris,G4,NA,NA,Negative,0
HH001,compost,Vibrio cholerae,G5,20.77,0.34,Positive,1
HH001,compost,Yersinia enterocolitica,G6,NA,NA,Negative,0
HH001,compost,blaCTX-M,H1,31.47,0.96,Positive,1
HH001,compost,blaNDM,H2,NA,NA,Negative,0
HH001,compost,mecA,H3,NA,NA,Negative,0
HH001,compost,qnrS,H4,NA,NA,Negative,0
HH001,compost,sul1,H5,NA,NA,Negative,0
HH001,compost,tetA,H6,NA,NA,Negative,0
HH001,effluent,Adenovirus 40/41,A1,NA,NA,Negative,0
HH001,effluent,Aeromonas,A2,NA,NA,Negative,0
HH001,effluent,Ancylostoma,A3,27.89,0.96,Positive,1
HH001,effluent,Ascaris,A4,NA,NA,Negative,0
HH001,effluent,Astrovirus,A5,NA,NA,Negative,0
HH001,effluent,BacHum,A6,NA,NA,Negative,0
HH001,effluent,Bacteroides fragilis,B1,NA,NA,Negative,0
HH001,effluent,Blastocystis,B2,22.67,0.93,Positive,1
HH001,effluent,Campylobacter,B3,33.36,0.54,Positive,1
HH001,effluent,Clostridium difficile,B4,NA,NA,Negative,0
HH001,effluent,CrAssphage,B5,NA,NA,Negative,0
HH001,effluent,Cryptosporidium,B6,NA,NA,Negative,0
HH001,effluent,Cyclospora,C1,NA,NA,Negative,0
HH001,effluent,Dientamoeba fragilis,C2,NA,NA,Negative,0
HH001,effluent,E. coli O157,C3,25.34,0.52,Positive,1
HH001,effluent,EAEC,C4,21.04,0.51,Positive,1
HH001,effluent,EPEC,C5,26.91,0.87,Positive,1
HH001,effluent,ETEC,C6,NA,NA,Negative,0
HH001,effluent,Entamoeba histolytica,D1,31.7,0.43,Positive,1
HH001,effluent,Enterovirus,D2,24.65,0.26,Positive,1
HH001,effluent,Giardia,D3,32.94,0.81,Positive,1
HH001,effluent,HF183,D4,NA,NA,Negative,0
HH001,effluent,Helicobacter pylori,D5,NA,NA,Negative,0
HH001,effluent,Hepatitis A,D6,NA,NA,Negative,0
HH001,effluent,Hepatitis E,E1,NA,NA,Negative,0
HH001,effluent,Listeria monocytogenes,E2,NA,NA,Negative,0
HH001,effluent,MS2,E3,NA,NA,Negative,0
HH001,effluent,Necator,E4,27.42,0.54,Positive,1
HH001,effluent,No Template Control,E5,NA,NA,Negative,0
HH001,effluent,Norovirus GI,E6,33.39,0.33,Positive,1
HH001,effluent,Norovirus GII,F1,28.88,0.62,Positive,1
HH001,effluent,Rotavirus A,F2,31.08,0.96,Positive,1
HH001,effluent,STEC,F3,31.67,0.24,Positive,1
HH001,effluent,Salmonella,F4,21.71,0.49,Positive,1
HH001,effluent,Sapovirus,F5,24.58,0.6,Positive,1
HH001,effluent,Shigella,F6,24.68,0.57,Positive,1
HH001,effluent,Sketa22,G1,NA,NA,Negative,0
HH001,effluent,Spiked_Extraction_Control,G2,NA,NA,Negative,0
HH001,effluent,Strongyloides,G3,NA,NA,Negative,0
HH001,effluent,Trichuris,G4,NA,NA,Equivocal,0
HH001,effluent,Vibrio cholerae,G5,33.48,0.68,Positive,1
HH001,effluent,Yersinia enterocolitica,G6,NA,NA,Negative,0
HH001,effluent,blaCTX-M,H1,NA,NA,Negative,0
HH001,effluent,blaNDM,H2,20.73,0.53,Positive,1
HH001,effluent,mecA,H3,NA,NA,Negative,0
HH001,effluent,qnrS,H4,20.56,0.8,Positive,1
HH001,effluent,sul1,H5,NA,NA,Negative,0
HH001,effluent,tetA,H6,NA,NA,Equivocal,0
HH001,produce,Adenovirus 40/41,A1,NA,NA,Negative,0
HH001,produce,Aeromonas,A2,NA,NA,Negative,0
HH001,produce,Ancylostoma,A3,NA,NA,Negative,0
HH001,produce,Ascaris,A4,NA,NA,Negative,0
HH001,produce,Astrovirus,A5,NA,NA,Negative,0
HH001,produce,BacHum,A6,NA,NA,Negative,0
HH001,produce,Bacteroides fragilis,B1,NA,NA,Negative,0
HH001,produce,Blastocystis,B2,NA,NA,Negative,0
HH001,produce,Campylobacter,B3,NA,NA,Negative,0
HH001,produce,Clostridium difficile,B4,NA,NA,Negative,0
HH001,produce,CrAssphage,B5,NA,NA,Negative,0
HH001,produce,Cryptosporidium,B6,NA,NA,Negative,0
HH001,produce,Cyclospora,C1,NA,NA,Negative,0
HH001,produce,Dientamoeba fragilis,C2,NA,NA,Negative,0
HH001,produce,E. coli O157,C3,31.39,0.2,Positive,1
HH001,produce,EAEC,C4,20.2,0.42,Positive,1
HH001,produce,EPEC,C5,22.57,0.9,Positive,1
HH001,produce,ETEC,C6,32.13,0.98,Positive,1
HH001,produce,Entamoeba histolytica,D1,NA,NA,Negative,0
