Sample,Target,Cq,AMP,Amp Score,Result,Cq Conf,Cq SD,Well
HH003_effluent,Adenovirus 40/41,NA,No Amp,0.82,Negative,0.32,NA,A1
HH003_effluent,Aeromonas,22.79,Amp,1.7,Positive,0.93,0.26,A2
HH003_effluent,Ancylostoma,NA,No Amp,0.08,Negative,0.07,NA,A3
HH003_effluent,Ascaris,NA,No Amp,0.66,Negative,0.35,NA,A4
HH003_effluent,Astrovirus,NA,No Amp,0.41,Negative,0.13,NA,A5
HH003_effluent,BacHum,29.66,Amp,1.51,Positive,0.86,0.71,A6
HH003_effluent,Bacteroides fragilis,NA,No Amp,0.71,Negative,0.07,NA,B1
HH003_effluent,Blastocystis,21.85,Amp,1.21,Positive,0.88,0.68,B2
HH003_effluent,Campylobacter,31.76,Amp,1.36,Positive,0.83,0.61,B3
HH003_effluent,Clostridium difficile,34.01,Amp,1.6,Positive,0.84,0.5,B4
HH003_effluent,CrAssphage,29.87,Amp,1.27,Positive,0.93,0.12,B5
HH003_effluent,Cryptosporidium,NA,No Amp,0.98,Negative,0.12,NA,B6
HH003_effluent,Cyclospora,30.48,Amp,1.45,Positive,0.98,0.37,C1
HH003_effluent,Dientamoeba fragilis,24.8,Amp,1.59,Positive,0.85,0.26,C2
HH003_effluent,E. coli O157,NA,No Amp,0.84,Negative,0.15,NA,C3
HH003_effluent,EAEC,NA,No Amp,0.03,Negative,0.39,NA,C4
HH003_effluent,EPEC,NA,No Amp,0.92,Negative,0.25,NA,C5
HH003_effluent,ETEC,33.23,Amp,1.58,Positive,0.95,0.54,C6
HH003_effluent,Entamoeba histolytica,NA,No Amp,0.6,Negative,0.11,NA,D1
HH003_effluent,Enterovirus,NA,No Amp,0.59,Negative,0.36,NA,D2
HH003_effluent,Giardia,NA,No Amp,0.82,Negative,0.36,NA,D3
HH003_effluent,HF183,NA,No Amp,0.43,Negative,0.08,NA,D4
HH003_effluent,Helicobacter pylori,NA,No Amp,0.61,Negative,0.33,NA,D5
HH003_effluent,Hepatitis A,NA,No Amp,0.85,Negative,0.03,NA,D6
HH003_effluent,Hepatitis E,NA,No Amp,0.53,Negative,0.31,NA,E1
HH003_effluent,Listeria monocytogenes,32.92,Amp,1.83,Positive,0.87,0.38,E2
HH003_effluent,MS2,NA,No Amp,0.97,Negative,0.02,NA,E3
HH003_effluent,Necator,21.93,Amp,1.81,Positive,0.89,0.37,E4
HH003_effluent,No Template Control,NA,Inconclusive,0.36,Equivocal,0.44,NA,E5
HH003_effluent,Norovirus GI,32.78,Amp,1.27,Positive,0.85,0.56,E6
HH003_effluent,Norovirus GII,NA,No Amp,0.76,Negative,0.28,NA,F1
HH003_effluent,Rotavirus A,NA,No Amp,0.43,Negative,0.37,NA,F2
HH003_effluent,STEC,32.82,Amp,1.54,Positive,0.8,0.79,F3
HH003_effluent,Salmonella,NA,No Amp,1.08,Negative,0.46,NA,F4
HH003_effluent,Sapovirus,NA,No Amp,0.23,Negative,0.19,NA,F5
HH003_effluent,Shigella,28.1,Amp,1.6,Positive,0.92,0.68,F6
HH003_effluent,Sketa22,NA,No Amp,0.2,Negative,0.3,NA,G1
HH003_effluent,Spiked_Extraction_Control,32.01,Amp,1.44,Positive,0.88,0.64,G2
HH003_effluent,Strongyloides,22.25,Amp,1.55,Positive,0.94,0.94,G3
HH003_effluent,Trichuris,NA,No Amp,0.36,Negative,0.46,NA,G4
HH003_effluent,Vibrio cholerae,NA,No Amp,0.21,Negative,0.46,NA,G5
HH003_effluent,Yersinia enterocolitica,NA,No Amp,0.4,Negative,0.09,NA,G6
HH003_effluent,blaCTX-M,NA,No Amp,1.1,Negative,0.44,NA,H1
HH003_effluent,blaNDM,29.31,Amp,1.42,Positive,0.97,0.26,H2
HH003_effluent,mecA,NA,No Amp,0.71,Negative,0.27,NA,H3
HH003_effluent,qnrS,28.58,Amp,1.79,Positive,0.8,0.12,H4
HH003_effluent,sul1,25.64,Amp,1.49,Positive,0.82,0.98,H5
HH003_effluent,tetA,NA,No Amp,1.01,Negative,0.32,NA,H6
HH003_produce,Adenovirus 40/41,NA,No Amp,0.52,Negative,0.34,NA,A1
HH003_produce,Aeromonas,NA,No Amp,0.14,Negative,0.42,NA,A2
HH003_produce,Ancylostoma,28.3,Amp,1.49,Positive,1,0.36,A3
HH003_produce,Ascaris,22.25,Amp,1.99,Positive,0.9,0.25,A4
HH003_produce,Astrovirus,NA,No Amp,0.4,Negative,0.27,NA,A5
HH003_produce,BacHum,NA,No Amp,0.38,Negative,0.15,NA,A6
HH003_produce,Bacteroides fragilis,28.58,Amp,1.44,Positive,0.94,0.12,B1
HH003_produce,Blastocystis,30.38,Amp,1.81,Positive,0.93,0.11,B2
HH003_produce,Campylobacter,NA,No Amp,0.84,Negative,0.15,NA,B3
HH003_produce,Clostridium difficile,NA,No Amp,0.93,Negative,0.18,NA,B4
HH003_produce,CrAssphage,NA,No Amp,0.44,Negative,0.15,NA,B5
HH003_produce,Cryptosporidium,NA,No Amp,0.23,Negative,0.17,NA,B6
HH003_produce,Cyclospora,33.17,Amp,1.34,Positive,1,0.31,C1
HH003_produce,Dientamoeba fragilis,NA,No Amp,0.52,Negative,0.32,NA,C2
HH003_produce,E. coli O157,30.97,Amp,1.58,Positive,0.97,0.56,C3
HH003_produce,EAEC,NA,No Amp,0.29,Negative,0.37,NA,C4
HH003_produce,EPEC,NA,No Amp,0.61,Negative,0.16,NA,C5
HH003_produce,ETEC,NA,No Amp,1.03,Negative,0.4,NA,C6
HH003_produce,Entamoeba histolytica,NA,No Amp,0.67,Negative,0.31,NA,D1
HH003_produce,Enterovirus,NA,No Amp,0.63,Negative,0.45,NA,D2
HH003_produce,Giardia,NA,No Amp,0.71,Negative,0.36,NA,D3
HH003_produce,HF183,34.03,Amp,1.33,Positive,0.91,0.74,D4
HH003_produce,Helicobacter pylori,NA,Inconclusive,0.55,Equivocal,0.2,NA,D5
HH003_produce,Hepatitis A,32.44,Amp,1.71,Positive,0.98,0.7,D6
HH003_produce,Hepatitis E,32.9,Amp,1.6,Positive,0.93,0.3,E1
HH003_produce,Listeria monocytogenes,NA,No Amp,0.36,Negative,0.27,NA,E2
HH003_produce,MS2,NA,No Amp,0.83,Negative,0.01,NA,E3
HH003_produce,Necator,24.36,Amp,1.56,Positive,0.93,0.41,E4
HH003_produce,No Template Control,NA,No Amp,1.07,Negative,0.5,NA,E5
HH003_produce,Norovirus GI,28.92,Amp,1.67,Positive,0.91,0.41,E6
HH003_produce,Norovirus GII,NA,No Amp,0.58,Negative,0.12,NA,F1
HH003_produce,Rotavirus A,NA,Inconclusive,1.03,Equivocal,0.19,NA,F2
HH003_produce,STEC,28.28,Amp,1.77,Positive,0.83,0.21,F3
HH003_produce,Salmonella,NA,No Amp,0.47,Negative,0.49,NA,F4
HH003_produce,Sapovirus,20.81,Amp,1.68,Positive,0.84,0.3,F5
HH003_produce,Shigella,26.66,Amp,1.65,Positive,0.88,0.75,F6
HH003_produce,Sketa22,NA,No Amp,0.66,Negative,0.33,NA,G1
HH003_produce,Spiked_Extraction_Control,25.62,Amp,1.68,Positive,0.93,0.23,G2
HH003_produce,Strongyloides,32.94,Amp,1.41,Positive,0.85,0.9,G3
HH003_produce,Trichuris,NA,No Amp,0.41,Negative,0.3,NA,G4
HH003_produce,Vibrio cholerae,NA,No Amp,0.59,Negative,0.04,NA,G5
HH003_produce,Yersinia enterocolitica,33.17,Amp,1.82,Positive,0.86,0.96,G6
HH003_produce,blaCTX-M,NA,No Amp,1.07,Negative,0.1,NA,H1
HH003_produce,blaNDM,NA,No Amp,0.8,Negative,0.43,NA,H2
HH003_produce,mecA,NA,No Amp,0.85,Negative,0.29,NA,H3
HH003_produce,qnrS,28.94,Amp,1.69,Positive,0.96,0.31,H4
HH003_produce,sul1,NA,No Amp,0.77,Negative,0.14,NA,H5
HH003_produce,tetA,NA,No Amp,0.1,Negative,0.25,NA,H6
HH004_compost,Adenovirus 40/41,NA,No Amp,0.29,Negative,0.43,NA,A1
HH004_compost,Aeromonas,NA,No Amp,1.01,Negative,0.4,NA,A2
HH004_compost,Ancylostoma,NA,No Amp,0.57,Negative,0.12,NA,A3
HH004_compost,Ascaris,NA,No Amp,0.56,Negative,0.14,NA,A4
HH004_compost,Astrovirus,23.12,Amp,1.33,Positive,0.83,0.71,A5
HH004_compost,BacHum,NA,No Amp,1.04,Negative,0.4,NA,A6
HH004_compost,Bacteroides fragilis,25.71,Amp,1.53,Positive,0.96,0.56,B1
HH004_compost,Blastocystis,NA,No Amp,1.08,Negative,0.15,NA,B2
HH004_compost,Campylobacter,NA,No Amp,0.8,Negative,0.11,NA,B3
HH004_compost,Clostridium difficile,29.13,Amp,1.87,Positive,0.96,0.21,B4
HH004_compost,CrAssphage,NA,No Amp,0.63,Negative,0.26,NA,B5
HH004_compost,Cryptosporidium,NA,No Amp,0.21,Negative,0.08,NA,B6
